compound,headgroup,chain1_n,chain2_n,formula,neutral_mass,adduct,target_mz
diacyl-lysine-3OH-C16:0/C14:0,lysine,16,14,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-lysine-3OH-C14:0/C16:0,lysine,14,16,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-ornithine-3OH-C15:0/C16:0,ornithine,15,16,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-lysine-3OH-C15:0/C15:0,lysine,15,15,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-ornithine-3OH-C17:0/C14:0,ornithine,17,14,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-ornithine-3OH-C16:0/C15:0,ornithine,16,15,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-lysine-3OH-C18:0/C12:0,lysine,18,12,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-lysine-3OH-C12:0/C18:0,lysine,12,18,C36H70N2O5,610.5284733539,[M+H]+,611.5357498058
diacyl-lysine-3OH-C12:0/C17:0,lysine,12,17,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-lysine-3OH-C14:0/C15:0,lysine,14,15,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-ornithine-3OH-C18:0/C12:0,ornithine,18,12,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-lysine-3OH-C15:0/C14:0,lysine,15,14,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-ornithine-3OH-C14:0/C16:0,ornithine,14,16,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-ornithine-3OH-C16:0/C14:0,ornithine,16,14,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-lysine-3OH-C17:0/C12:0,lysine,17,12,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-ornithine-3OH-C12:0/C18:0,ornithine,12,18,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
diacyl-ornithine-3OH-C15:0/C15:0,ornithine,15,15,C35H68N2O5,596.5128232901001,[M+NH4]+,614.5466488429
