row ID	row m/z	row retention time	adduct	has_ms2	log2FC_a_over_b	q_value	q_value_perm_plate	q_used	q_used_source	blocking_robust	best_identity	best_identity_source	library_NAME	library_cosine	library_matched_peaks	library_SMILES	library_INCHI	library_ORGANISM	analog_NAME	analog_cosine	analog_matched_peaks	analog_SMILES	analog_INCHI	analog_ORGANISM	sirius_formula	sirius_adduct	sirius_structure_name	sirius_structure_smiles	sirius_structure_confidence	sirius_npc_pathway	sirius_npc_class	sirius_classyfire_class
190	447.3299	5.167	[M-H2O+H]1+	True	4.452809103827031	1.9809610854333066e-08	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	[(2R,3R,4R,5R)-2,3,4,5,6-pentahydroxyhexyl] octadec-9-enoate	sirius_structure								0.9181	9	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO			C24H46O7	[M + H]+	[(2R,3R,4R,5R)-2,3,4,5,6-pentahydroxyhexyl] octadec-9-enoate	CCCCCCCCC=CCCCCCCCC(=O)OCC(C(C(C(CO)O)O)O)O	0.594	Fatty acids	Wax monoesters	Fatty Acyls
1793	636.4293	5.634988	[M+H]1+	True	4.533412455011511	4.5311650471447696e-08	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	C33H57N5O7 (formula only)	sirius_formula_only													C33H57N5O7	[M + H]+		CCCCCCCC(CC(=O)OC(COC(=O)CCCCCCCC1CC1CCCCCC)COP(=O)(O)OCCN)O	0.452	Fatty acids	Glycerophosphoethanolamines	Carboxylic acids and derivatives
234	513.34	5.409	[M-H2O+H]1+	True	7.833080003920939	1.4527301639938642e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	Didodecyl hexa-2,4-diynedioate	sirius_structure								0.7309	6	CC(=O)OC1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O			C28H48O8	[M + H]+	Didodecyl hexa-2,4-diynedioate	CCCCCCCCCCCCOC(=O)C#CC#CC(=O)OCCCCCCCCCCCC	0.23	Fatty acids	Wax monoesters	Fatty Acyls
1114	566.3878	5.427561	[M+NH3+H]1+	True	6.913250669092602	1.4527301639938642e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	dibenzyl N-palmitoylglutamate	sirius_structure													C28H55NO10	[M + H]+	dibenzyl N-palmitoylglutamate	CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)OCC1=CC=CC=C1)C(=O)OCC2=CC=CC=C2	0.051	Fatty acids	Ceramides	Fatty Acyls
539	454.3226	5.409	[M+H]1+	True	7.290169040259684	4.590003220530022e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	Decyl 4-(decanoylamino)benzoate	sirius_structure							(7E,13E)-9,15-dihydroxy-4,10,16-trimethyl-1,5,11-trioxacyclohexadeca-7,13-diene-2,6,12-trione [M+H]+	0.8253	6		InChI=1S/C16H22O8/c1-9-8-16(21)24-11(3)13(18)5-7-15(20)23-10(2)12(17)4-6-14(19)22-9/h4-7,9-13,17-18H,8H2,1-3H3/b6-4+,7-5+	MONA	C22H45N3O5	[M + Na]+	Decyl 4-(decanoylamino)benzoate	CCCCCCCCCCOC(=O)C1=CC=C(C=C1)NC(=O)CCCCCCCCC	0.147	Fatty acids	N-acyl ethanolamines (endocannabinoids)	Fatty Acyls
1371	411.3089	5.409	[M+H]1+	True	6.340102890106063	8.085315572212466e-07	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	(3-Hydroxy-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-6-yl) octadec-9-enoate	sirius_structure								0.8403	8	CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O			C24H42O5	[M + H]+	(3-Hydroxy-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-6-yl) octadec-9-enoate	CCCCCCCCC=CCCCCCCCC(=O)OC1COC2C1OCC2O	0.843	Fatty acids	Wax monoesters	Fatty Acyls
777	532.3539	5.409	[M+H]1+	True	6.369371963344676	3.1070399446265275e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	2-Taehm	sirius_structure							[(2S,3R,4S,5R,6R)-6-[[(2R,3S,4S,5R,6R)-3,4-dihydroxy-6-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenoxy]-5-[(2S,3R,4R,5S,6S)-3,4,5-triacetyloxy-6-methyloxan-2-yl]oxyoxan-2-yl]methoxy]-4,5-dihydroxy-2-methyloxan-3-yl] acetate [M+NH4]+	0.7194	7		InChI=1S/C46H72O18/c1-24(2)15-12-16-25(3)17-13-18-26(4)19-14-20-27(5)21-22-55-45-41(64-46-43(62-33(11)50)42(61-32(10)49)40(29(7)58-46)60-31(9)48)36(52)35(51)34(63-45)23-56-44-38(54)37(53)39(28(6)57-44)59-30(8)47/h15,17,19,21,28-29,34-46,51-54H,12-14,16,18,20,22-23H2,1-11H3/b25-17+,26-19+,27-21+/t28-,29-,34+,35+,36-,37-,38+,39-,40-,41+,42+,43+,44+,45+,46-/m0/s1	MONA	C28H45N5O5	[M + H]+	2-Taehm	CCCCCCCCCCCCCCCCOCC(CCP(=O)(O)OCC[N+](C)(C)C)OC	0.275	Fatty acids	Sphingoid bases	Organic phosphoric acids and derivatives
433	530.336	5.324225	[M+Na]1+	True	8.397858441696682	3.962228139025591e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	4-(hexanoylamino)-N-[4-(undecylcarbamoyl)phenyl]benzamide	sirius_structure								0.7168	6	CCC[C@H]1CC(=O)C=C(C)C1			C23H43N7O7	[M + H]+	4-(hexanoylamino)-N-[4-(undecylcarbamoyl)phenyl]benzamide	CCCCCCCCCCCNC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)CCCCC	0.111	Amino acids and Peptides	Open-chain polyketides	
5563	599.3744	5.555955	[M+H]1+	True	5.7440444363793866	3.962228139025591e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True		unidentified								0.7422	6	C=C(C)[C@@H]1CC=C(C(=O)O)CC1										
406	502.3049	5.14	[M+Na]1+	True	3.491413604286717	4.406778737222267e-06	0.0217341329335332	0.0217341329335332	q_value_perm_plate	True	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14 M+Na	exact_library_match	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine from NIST14 M+Na	0.7509	6	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O	InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)/b10-9-/t22-/m1/s1	GNPS-NIST14-MATCHES		0.7663	6	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OCC(O)COP(=O)(O)OCCN			C26H45N3O4	[M + K]+	3-Cyclohexyl-1-(2-{methyl[(1-methylpiperidin-3-YL)methyl]amino}-2-oxoethyl)-2-phenyl-1H-indole-6-carboxylic acid	CN1CCCC(C1)CN(C)C(=O)CN2C3=C(C=CC(=C3)C(=O)O)C(=C2C4=CC=CC=C4)C5CCCCC5	0.048	Alkaloids	Terpenoid alkaloids	Carboxylic acids and derivatives
